Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,2616.1,2722.9,2777.8,2831.3,2895.3,2958.9,3025.6,3088.8,3148.4,3213.1,3280.4,3335.4,3408.3,3482.3,3560.6,3639.3
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,238.2,242.7,247.0,250.7,254.6,257.8,260.7,264.2,267.6,270.7,274.9,278.3,283.2,288.9,295.6,300.8
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.5,137.1,139.1,140.5,142.7,144.8,147.2,150.1
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183.3,188.7,194.4
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,161.8,172.4,175.0,178.1,181.6,185.3,189.1,192.6,195.8,199.2,203.4,207.7,212.4,217.3,222.2,227.0
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,117.5,120.3,122.9,125.7,128.8,131.6,134.7,137.7,140.7,143.8,146.9,149.8,153.1,156.3,159.5,162.7
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,212.0,222.1,226.9,231.6,237.2,243.1,249.2,254.6,259.5,264.9,270.8,274.6,280.6,286.7,293.1,299.8
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,193.4,199.3,205.2,210.4,215.4,220.7,226.6,231.8,236.4,241.8,247.4,252.6,259.4,265.6,272.1,279.5
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,225.7,235.0,239.7,244.7,250.1,255.5,261.1,266.7,272.4,278.3,284.5,290.6,297.5,304.7,312.1,319.4
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,214.0,219.6,224.2,228.3,234.0,239.4,244.8,249.7,254.1,259.2,263.8,266.4,271.2,276.3,282.0,287.7
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,94.0,101.2,102.9,104.7,106.6,108.6,110.7,112.7,114.7,116.8,119.2,121.5,124.1,126.8,129.6,132.3
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,69.5,73.9,75.1,76.4,77.8,78.9,80.2,81.7,83.1,84.8,86.6,88.3,90.3,91.9,93.4,95.2
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,110.8,122.4,124.6,127.4,130.4,133.9,137.5,141.0,144.9,148.6,152.3,155.5,159.2,162.7,166.6,170.6
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,151.8,163.0,166.2,169.5,173.3,177.2,181.0,184.7,188.1,191.8,195.9,199.8,204.0,208.4,213.0,217.8
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,315.6,325.8,333.7,340.9,350.0,359.9,370.2,380.1,389.6,399.8,410.4,419.8,432.0,260.7,267.9,274.5
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,300.5,306.4,311.8,316.9,324.3,330.6,337.6,343.7,214.7,218.4,222.0,223.8,227.6,231.2,235.1,239.2
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,211.3,218.8,222.6,226.0,231.2,236.4,242.2,247.6,252.3,257.9,263.2,266.2,271.0,276.7,282.5,288.3
1712,Navoiy viloyati,Навоийская область,Navoi region,Навоий вилояти,851.6,873.0,881.2,888.4,901.1,913.2,927.9,942.8,958.0,979.5,997.1,1013.6,1033.9,1055.5,1075.3,1094.7
1712401,Navoiy shahri,Город Навои,Navoi city,Навоий шаҳри,131.0,132.9,134.4,134.3,134.1,133.5,133.6,134.1,135.6,136.4,144.2,146.9,150.6,156.0,161.3,166.5
1712408,Zarafshon shahri,Город Заpафшан,Zarafshan city,Зарафшон шаҳри,72.5,74.2,73.8,73.1,74.4,75.7,77.8,79.5,81.4,82.5,83.8,85.1,85.6,86.5,88.4,90.4
1712412,G‘ozg‘on shahri,Город Газган,Gazgan city,Ғозғон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,8.8,9.0,9.1,9.2,9.3
1712211,Konimex tumani,Канимехский  район,Kanimekh district,Конимех тумани,37.7,31.0,30.0,29.4,29.4,29.4,29.4,29.6,29.7,35.0,35.6,36.2,36.8,37.4,37.4,37.2
1712216,Qiziltepa tumani,Кызылтепинский район,Kyzyltepa district,Қизилтепа тумани,120.0,131.5,133.3,135.3,137.7,140.1,142.5,144.9,146.8,149.2,151.7,153.9,156.6,159.2,161.8,164.6
1712230,Navbahor tumani,Навбахорский район,Navbahor district,Навбаҳор тумани,87.8,95.6,97.4,99.2,101.3,103.3,105.1,106.9,108.6,110.8,112.8,114.7,116.8,118.9,120.8,122.7
1712234,Karmana tumani,Карманинский район,Karmana district,Кармана тумани,101.1,103.3,105.6,107.3,109.9,113.2,116.7,120.1,123.4,127.7,125.6,128.2,132.2,135.7,138.8,141.8
1712238,Nurota tumani,Нуратинский район,Nurota district,Нурота тумани,80.5,81.5,82.3,83.1,84.3,85.6,86.9,88.1,89.5,91.0,85.3,85.2,86.7,88.0,89.6,90.8
1712244,Tomdi tumani,Тамдынский район,Tomdy district,Томди тумани,22.2,16.8,16.0,15.4,15.0,14.6,14.5,14.5,14.3,14.4,14.7,15.1,15.4,15.8,15.5,15.3
1712248,Uchquduq tumani,Учкудукский район,Uchkuduk district,Учқудуқ тумани,37.0,35.9,35.0,34.7,35.1,34.9,35.6,36.3,37.0,37.1,37.2,37.6,38.4,39.1,39.3,39.7
